"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
13	0.818076923076923	16	17	"Heart"	0
14	0.781400504548582	17	17	"Heart"	0
15	0.782331511839709	15	17	"Heart"	0
16	0.815581253804017	16	17	"Heart"	0
17	0.77536231884058	15	17	"Heart"	0
18	0.774029329078338	17	17	"Heart"	0
19	0.791997579608199	12	17	"Heart"	0
20	0.783119658119658	14	17	"Heart"	0
21	0.78669794188862	12	17	"Heart"	0
22	0.765384909410596	16	17	"Heart"	0
23	0.760173629951167	12	17	"Heart"	0
24	0.767114960869235	14	17	"Heart"	0
25	0.774514268366727	11	17	"Heart"	0
26	0.810712064676617	13	17	"Heart"	0
27	0.793700362402653	17	17	"Heart"	0
28	0.760263480392157	14	17	"Heart"	0
29	0.796596003343211	13	17	"Heart"	0
30	0.773863636363636	13	17	"Heart"	0
1	0.766857142857143	13	18	"Heart"	0
2	0.802902515006458	12	18	"Heart"	0
3	0.798314780457638	14	18	"Heart"	0
4	0.775730721393035	16	18	"Heart"	0
5	0.8	17	18	"Heart"	0
6	0.812152133580705	14	18	"Heart"	0
7	0.787530637254902	16	18	"Heart"	0
8	0.780264650283554	17	18	"Heart"	0
9	0.814055859137826	13	18	"Heart"	0
10	0.811153846153846	16	18	"Heart"	0
11	0.791001619245894	15	18	"Heart"	0
12	0.787087912087912	14	18	"Heart"	0
13	0.769087667622665	13	18	"Heart"	0
14	0.774134790528233	12	18	"Heart"	0
15	0.821196660482375	14	18	"Heart"	0
16	0.779435577145501	16	18	"Heart"	0
17	0.799402573529412	16	18	"Heart"	0
18	0.793581495098039	15	18	"Heart"	0
19	0.789924317712713	15	18	"Heart"	0
20	0.786159844054581	17	18	"Heart"	0
21	0.773542092126163	14	18	"Heart"	0
22	0.795652173913043	15	18	"Heart"	0
23	0.807835820895522	13	18	"Heart"	0
24	0.795833333333333	14	18	"Heart"	0
25	0.742848447961047	12	18	"Heart"	0
26	0.741113064750401	15	18	"Heart"	0
27	0.783925318761384	16	18	"Heart"	0
28	0.837111990261716	15	18	"Heart"	0
29	0.810384615384615	16	18	"Heart"	0
30	0.750869630973987	13	18	"Heart"	0
1	0.832395009129641	15	19	"Heart"	0
2	0.760872853793208	15	19	"Heart"	0
3	0.788915004928349	14	19	"Heart"	0
4	0.814807302231237	16	19	"Heart"	0
5	0.804421768707483	16	19	"Heart"	0
