"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
19	0.877758943184475	12	12	"Churn"	"Yes"	0.1
20	0.870696832579186	12	12	"Churn"	"Yes"	0.1
21	0.873671407185629	12	12	"Churn"	"Yes"	0.1
22	0.876911386485855	12	12	"Churn"	"Yes"	0.1
23	0.874965767492811	12	12	"Churn"	"Yes"	0.1
24	0.794048561128487	12	12	"Churn"	"Yes"	0.1
25	0.833084947839046	12	12	"Churn"	"Yes"	0.1
26	0.891434448065224	12	12	"Churn"	"Yes"	0.1
27	0.867028425720064	12	12	"Churn"	"Yes"	0.1
28	0.821928879310345	12	12	"Churn"	"Yes"	0.1
29	0.852549823102672	12	12	"Churn"	"Yes"	0.1
30	0.891523378582202	12	12	"Churn"	"Yes"	0.1
1	0.840642755681818	13	13	"Churn"	"Yes"	0.1
2	0.825284955458419	13	13	"Churn"	"Yes"	0.1
3	0.854678143712575	13	13	"Churn"	"Yes"	0.1
4	0.855086798062629	13	13	"Churn"	"Yes"	0.1
5	0.846155229463387	13	13	"Churn"	"Yes"	0.1
6	0.851818783068783	13	13	"Churn"	"Yes"	0.1
7	0.866124001996008	13	13	"Churn"	"Yes"	0.1
8	0.862626570021579	13	13	"Churn"	"Yes"	0.1
9	0.874558792126716	13	13	"Churn"	"Yes"	0.1
10	0.828404343179168	13	13	"Churn"	"Yes"	0.1
11	0.84382912953402	13	13	"Churn"	"Yes"	0.1
12	0.897430470032841	13	13	"Churn"	"Yes"	0.1
13	0.829167720718442	13	13	"Churn"	"Yes"	0.1
14	0.857176274590351	13	13	"Churn"	"Yes"	0.1
15	0.850642489312087	13	13	"Churn"	"Yes"	0.1
16	0.861476944019057	13	13	"Churn"	"Yes"	0.1
17	0.872886640798226	13	13	"Churn"	"Yes"	0.1
18	0.853259254473803	13	13	"Churn"	"Yes"	0.1
19	0.806271777003484	13	13	"Churn"	"Yes"	0.1
20	0.846047331319235	13	13	"Churn"	"Yes"	0.1
21	0.841272320266542	13	13	"Churn"	"Yes"	0.1
22	0.828123697094595	13	13	"Churn"	"Yes"	0.1
23	0.882894481150408	13	13	"Churn"	"Yes"	0.1
24	0.859554244509997	13	13	"Churn"	"Yes"	0.1
25	0.846071308684602	13	13	"Churn"	"Yes"	0.1
26	0.847570144874381	13	13	"Churn"	"Yes"	0.1
27	0.897851486591527	13	13	"Churn"	"Yes"	0.1
28	0.884452488687783	13	13	"Churn"	"Yes"	0.1
29	0.869631752817723	13	13	"Churn"	"Yes"	0.1
30	0.838817432930159	13	13	"Churn"	"Yes"	0.1
1	0.826462497707684	14	14	"Churn"	"Yes"	0.1
2	0.90765117728864	14	14	"Churn"	"Yes"	0.1
3	0.809506227539014	14	14	"Churn"	"Yes"	0.1
4	0.847201210287443	14	14	"Churn"	"Yes"	0.1
5	0.83158468690811	14	14	"Churn"	"Yes"	0.1
6	0.867826495038884	14	14	"Churn"	"Yes"	0.1
7	0.88946145852436	14	14	"Churn"	"Yes"	0.1
8	0.846413570074467	14	14	"Churn"	"Yes"	0.1
9	0.855620294442047	14	14	"Churn"	"Yes"	0.1
10	0.853947246858832	14	14	"Churn"	"Yes"	0.1
11	0.817600556539337	14	14	"Churn"	"Yes"	0.1
12	0.853920253627606	14	14	"Churn"	"Yes"	0.1
13	0.866972308820833	14	14	"Churn"	"Yes"	0.1
14	0.861452411516596	14	14	"Churn"	"Yes"	0.1
15	0.84798773690078	14	14	"Churn"	"Yes"	0.1
16	0.872168744750953	14	14	"Churn"	"Yes"	0.1
17	0.796854732250474	14	14	"Churn"	"Yes"	0.1
18	0.857634943181818	14	14	"Churn"	"Yes"	0.1
19	0.840150870625603	14	14	"Churn"	"Yes"	0.1
20	0.805308831036243	14	14	"Churn"	"Yes"	0.1
21	0.82597093252831	14	14	"Churn"	"Yes"	0.1
22	0.885724349008939	14	14	"Churn"	"Yes"	0.1
23	0.829041840683131	14	14	"Churn"	"Yes"	0.1
24	0.863005846612404	14	14	"Churn"	"Yes"	0.1
25	0.851261902448504	14	14	"Churn"	"Yes"	0.1
26	0.8691639905424	14	14	"Churn"	"Yes"	0.1
27	0.866701837685747	14	14	"Churn"	"Yes"	0.1
28	0.893498006202924	14	14	"Churn"	"Yes"	0.1
29	0.821351508495381	14	14	"Churn"	"Yes"	0.1
30	0.832064664430795	14	14	"Churn"	"Yes"	0.1
1	0.828484518071543	15	15	"Churn"	"Yes"	0.1
2	0.814723976897107	15	15	"Churn"	"Yes"	0.1
3	0.850212075848303	15	15	"Churn"	"Yes"	0.1
4	0.868756477301154	15	15	"Churn"	"Yes"	0.1
5	0.825744583547705	15	15	"Churn"	"Yes"	0.1
6	0.816404731830548	15	15	"Churn"	"Yes"	0.1
7	0.824653527070445	15	15	"Churn"	"Yes"	0.1
8	0.865508808131759	15	15	"Churn"	"Yes"	0.1
9	0.855983343332039	15	15	"Churn"	"Yes"	0.1
10	0.845809659090909	15	15	"Churn"	"Yes"	0.1
11	0.830633015934707	15	15	"Churn"	"Yes"	0.1
12	0.844496939370385	15	15	"Churn"	"Yes"	0.1
